,Artist,Title,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
0,red hot chili peppers,by the way,0,1f2V8U1BiWaC9aJWmpOARe,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,216933,4
1,thirty seconds to mars,the kill (bury me),0,54bzhkAeWNCzl6Reh4h8pV,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,231533,3
2,muse,uprising,0,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,4
3,limp bizkit,rollin' (air raid vehicle),0,3IV4swNduIRunHREK80owz,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,213760,4
4,rise against,savior,0,3asFGFY3uLjMDmML1p0tYm,0.339,0.931,5,-3.425,0,0.062,0.0015,0.000142,0.425,0.467,112.548,242280,4
5,stone sour,through glass,0,5NeIONQWJ25uPylJBJiO4c,0.545,0.753,3,-4.618,0,0.036,0.0417,0.0,0.389,0.434,105.754,282947,4
6,breaking benjamin,the diary of jane - single version,0,0faXHILILebCGnJBPU6KJJ,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,200547,4
7,arctic monkeys,i bet you look good on the dancefloor,0,3DQVgcqaP3iSMbaKsd57l5,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,173680,4
8,korn,falling away from me,0,2F6FfZ4w8z3eJpSxPotVO5,0.468,0.769,4,-7.036,1,0.041,0.00014,0.00124,0.271,0.17,104.102,270920,4
9,godsmack,i stand alone,0,44NRdYQw7P0GWuiunRv3hr,0.217,0.92,8,-4.479,1,0.0628,2.86e-05,0.0,0.102,0.376,167.169,246040,4
10,audioslave,show me how to live,0,1Qdnvn4XlmZANCVy3XjrQo,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840,4
11,muse,plug in baby,0,429MqIq5nGH32feyRZHunv,0.408,0.965,2,-4.232,1,0.05,6.94e-06,0.000402,0.11,0.349,136.018,218000,4
12,deftones,change (in the house of flies) - in the house of flies lp version,0,51c94ac31swyDQj9B3Lzs3,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,299533,4
13,a perfect circle,judith,0,5KDNFlHAdDJ84fhK27c35X,0.366,0.894,11,-4.682,0,0.0568,3.45e-05,0.17,0.267,0.304,82.305,247267,3
