,Title,Artist,Year
0,The Battle of New Orleans,Johnny Horton,1959
1,Mack the Knife,Bobby Darin,1959
2,Personality,Lloyd Price,1959
3,Venus,Frankie Avalon,1959
4,Lonely Boy,Paul Anka,1959
5,Dream Lover,Bobby Darin,1959
6,The Three Bells,The Browns,1959
7,Come Softly to Me,The Fleetwoods,1959
8,Kansas City,Wilbert Harrison,1959
9,Mr. Blue,The Fleetwoods,1959
10,Sleep Walk,Santo & Johnny,1959
11,Put Your Head on My Shoulder,Paul Anka,1959
12,Stagger Lee,Lloyd Price,1959
13,Donna,Ritchie Valens,1959
14,Pink Shoe Laces,Dodie Stevens,1959
15,Smoke Gets in Your Eyes,The Platters,1959
16,Charlie Brown,The Coasters,1959
17,Quiet Village,Martin Denny,1959
18,My Heart Is an Open Book,Carl Dobkins Jr.,1959
19,(Till) I Kissed You,The Everly Brothers,1959
20,Sea of Love,Phil Phillips,1959
21,The Happy Organ,Dave Cortez,1959
22,I'm Gonna Get Married,Lloyd Price,1959
23,Sorry (I Ran All the Way Home),The Impalas,1959
24,A Teenager in Love,Dion and the Belmonts,1959
25,16 Candles,The Crests,1959
26,It's Just a Matter of Time,Brook Benton,1959
27,Lipstick on Your Collar,Connie Francis,1959
28,There Goes My Baby,The Drifters,1959
29,A Big Hunk o' Love,Elvis Presley,1959
30,Red River Rock,Johnny and the Hurricanes,1959
31,Waterloo,Stonewall Jackson,1959
32,Lavender Blue,Sammy Turner,1959
33,(Now and Then There's) A Fool Such as I,Elvis Presley,1959
34,Guitar Boogie Shuffle,The Virtues,1959
35,Teen Beat,Sandy Nelson,1959
36,"Kookie, Kookie (Lend Me Your Comb)",Edd Byrnes & Connie Stevens,1959
37,Tragedy,Thomas Wayne,1959
38,My Happiness,Connie Francis,1959
39,Tallahassee Lassie,Freddy Cannon,1959
40,Tiger,Fabian,1959
41,Never Be Anyone Else But You,Ricky Nelson,1959
42,Don't You Know?,Della Reese,1959
43,I Need Your Love Tonight,Elvis Presley,1959
44,What a Diff'rence a Day Makes,Dinah Washington,1959
45,The All American Boy,Bill Parsons,1959
46,Primrose Lane,Jerry Wallace,1959
47,Alvin's Harmonica,The Chipmunks,1959
48,Lonely Street,Andy Williams,1959
49,What'd I Say,Ray Charles,1959
50,Broken Hearted Melody,Sarah Vaughan,1959
51,Only You (And You Alone),Franck Pourcel,1959
52,Gotta Travel On,Billy Grammer,1959
53,Poison Ivy,The Coasters,1959
54,Turn Me Loose,Fabian,1959
55,Lonely Teardrops,Jackie Wilson,1959
56,Hawaiian Wedding Song,Andy Williams,1959
57,Forty Miles of Bad Road,Duane Eddy,1959
58,Just Ask Your Heart,Frankie Avalon,1959
59,Tell Him No,Travis and Bob,1959
60,Frankie,Connie Francis,1959
61,I've Had It,The Bell Notes,1959
62,I Cried a Tear,LaVern Baker,1959
63,Enchanted,The Platters,1959
64,Since I Don't Have You,The Skyliners,1959
65,Peter Gunn Theme,Ray Anthony,1959
66,The Chipmunk Song (Christmas Don't Be Late),The Chipmunks,1959
67,I Want to Walk You Home,Fats Domino,1959
68,So Fine,The Fiestas,1959
69,Bobby Sox to Stockings,Frankie Avalon,1959
70,The Deck of Cards,Wink Martindale,1959
71,A Lover's Question,Clyde McPhatter,1959
72,I Only Have Eyes for You,The Flamingos,1959
73,It's Late,Ricky Nelson,1959
74,Petite Fleur,Chris Barber's Jazz Band,1959
75,Tall Paul,Annette Funicello,1959
76,The Tijuana Jail,The Kingston Trio,1959
77,Just a Little Too Much,Ricky Nelson,1959
78,Goodbye Baby,Jack Scott,1959
79,Along Came Jones,The Coasters,1959
80,Three Stars,Tommy Dee & Carol Kay,1959
81,A Boy Without a Girl,Frankie Avalon,1959
82,Sweeter Than You,Ricky Nelson,1959
83,It Was I,Skip & Flip,1959
84,"Goodbye Jimmy, Goodbye",Kathy Linden,1959
85,Manhattan Spiritual,Reg Owen Orchestra,1959
86,Endlessly,Brook Benton,1959
87,Heartaches by the Number,Guy Mitchell,1959
88,Sea Cruise,Frankie Ford,1959
89,That's Why (I Love You So),Jackie Wilson,1959
90,You're So Fine,The Falcons,1959
91,Kissin' Time,Bobby Rydell,1959
92,My Wish Came True,Elvis Presley,1959
93,Morgen,Ivo Robić,1959
94,Baby Talk,Jan and Dean,1959
95,Take a Message to Mary,The Everly Brothers,1959
96,The Battle Hymn of the Republic,Mormon Tabernacle Choir,1959
97,Bongo Rock,Preston Epps,1959
98,In the Mood,Ernie Fields,1959
99,Seven Little Girls Sitting in the Back Seat,Paul Evans,1959
100,Theme from A Summer Place,Percy Faith,1960
101,He'll Have to Go,Jim Reeves,1960
102,Cathy's Clown,The Everly Brothers,1960
103,Running Bear,Johnny Preston,1960
104,Teen Angel,Mark Dinning,1960
105,I'm Sorry,Brenda Lee,1960
106,It's Now or Never,Elvis Presley,1960
107,Handy Man,Jimmy Jones,1960
108,Stuck on You,Elvis Presley,1960
109,The Twist,Chubby Checker,1960
110,Everybody's Somebody's Fool,Connie Francis,1960
111,Wild One,Bobby Rydell,1960
112,Greenfields,The Brothers Four,1960
113,What in the World's Come Over You,Jack Scott,1960
114,El Paso,Marty Robbins,1960
115,Alley Oop,The Hollywood Argyles,1960
116,My Heart Has a Mind of Its Own,Connie Francis,1960
117,Sweet Nothin's,Brenda Lee,1960
118,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,1960
119,Only the Lonely,Roy Orbison,1960
120,Where or When,Dion and the Belmonts,1960
121,Sixteen Reasons,Connie Stevens,1960
122,Puppy Love,Paul Anka,1960
123,Why,Frankie Avalon,1960
124,"Walk, Don't Run",The Ventures,1960
125,Save the Last Dance for Me,The Drifters,1960
126,Baby (You've Got What It Takes),Dinah Washington & Brook Benton,1960
127,Sink the Bismarck,Johnny Horton,1960
128,Chain Gang,Sam Cooke,1960
129,Let It Be Me,The Everly Brothers,1960
130,Good Timin',Jimmy Jones,1960
131,Beyond the Sea,Bobby Darin,1960
132,"Go, Jimmy, Go",Jimmy Clanton,1960
133,Night,Jackie Wilson,1960
134,Burning Bridges,Jack Scott,1960
135,The Big Hurt,Toni Fisher,1960
136,Because They're Young,Duane Eddy,1960
137,Lonely Blue Boy,Conway Twitty,1960
138,Pretty Blue Eyes,Steve Lawrence,1960
139,Way Down Yonder in New Orleans,Freddy Cannon,1960
140,Paper Roses,Anita Bryant,1960
141,Mr. Custer,Larry Verne,1960
142,I Want to Be Wanted,Brenda Lee,1960
143,Mule Skinner Blues,The Fendermen,1960
144,Cradle of Love,Johnny Preston,1960
145,You Got What It Takes,Marv Johnson,1960
146,"Please Help Me, I'm Falling",Hank Locklin,1960
147,Love You So,Ron Holden,1960
148,Finger Poppin' Time,Hank Ballard & The Midnighters,1960
149,Harbor Lights,The Platters,1960
150,Let the Little Girl Dance,Billy Bland,1960
151,He'll Have to Stay,Jeanne Black,1960
152,Theme from The Apartment,Ferrante & Teicher,1960
153,Volare,Bobby Rydell,1960
154,A Million to One,Jimmy Charles,1960
155,The Village of St. Bernadette,Andy Williams,1960
156,White Silver Sands,Bill Black's Combo,1960
157,The Old Lamp-Lighter,The Browns,1960
158,Devil or Angel,Bobby Vee,1960
159,Down by the Station,The Four Preps,1960
160,Forever,The Little Dippers,1960
161,Image of a Girl,The Safaris & The Phantom's Band,1960
162,Kiddio,Brook Benton,1960
163,Mission Bell,Donnie Brooks,1960
164,I Love the Way You Love,Marv Johnson,1960
165,It's Time to Cry,Paul Anka,1960
166,Tell Laura I Love Her,Ray Peterson,1960
167,Mama,Connie Francis,1960
168,Footsteps,Steve Lawrence,1960
169,So Sad,The Everly Brothers,1960
170,That's All You Gotta Do,Brenda Lee,1960
171,Walking to New Orleans,Fats Domino,1960
172,Among My Souvenirs,Connie Francis,1960
173,Swingin' School,Bobby Rydell,1960
174,A Rockin' Good Way (to Mess Around and Fall in Love),Dinah Washington & Brook Benton,1960
175,Stairway to Heaven,Neil Sedaka,1960
176,My Home Town,Paul Anka,1960
177,Georgia on My Mind,Ray Charles,1960
178,Cherry Pie,Skip & Flip,1960
179,Wonderful World,Sam Cooke,1960
180,Tracy's Theme,Spencer Ross,1960
181,Lady Luck,Lloyd Price,1960
182,Step by Step,The Crests,1960
183,Happy-Go-Lucky Me,Paul Evans,1960
184,Young Emotions,Ricky Nelson,1960
185,Dreamin',Johnny Burnette,1960
186,Poetry in Motion,Johnny Tillotson,1960
187,O Dio Mio,Annette Funicello,1960
188,You Talk Too Much,Joe Jones,1960
189,Beatnik Fly,Johnny and the Hurricanes,1960
190,When Will I Be Loved,The Everly Brothers,1960
191,Let's Think About Living,Bob Luman,1960
192,Heartaches by the Number,Guy Mitchell,1960
193,My Little Corner of the World,Anita Bryant,1960
194,Doggin' Around,Jackie Wilson,1960
195,Little Bitty Girl,Bobby Rydell,1960
196,Money (That's What I Want),Barrett Strong,1960
197,Stay,Maurice Williams and the Zodiacs,1960
198,Lonely Weekends,Charlie Rich,1960
199,Sandy,Larry Hall,1960
200,Tossin' and Turnin',Bobby Lewis,1961
201,I Fall to Pieces,Patsy Cline,1961
202,Michael,The Highwaymen,1961
203,Crying,Roy Orbison,1961
204,Runaway,Del Shannon,1961
205,My True Story,The Jive Five,1961
206,Pony Time,Chubby Checker,1961
207,Wheels,The String-A-Longs,1961
208,Raindrops,Dee Clark,1961
209,Wooden Heart,Joe Dowell,1961
210,Calcutta,Lawrence Welk,1961
211,Take Good Care of My Baby,Bobby Vee,1961
212,Running Scared,Roy Orbison,1961
213,Dedicated to the One I Love,The Shirelles,1961
214,Last Night,The Mar-Keys,1961
215,Will You Love Me Tomorrow,The Shirelles,1961
216,Exodus,Ferrante & Teicher,1961
217,Where the Boys Are,Connie Francis,1961
218,Hit the Road Jack,Ray Charles,1961
219,Sad Movies (Make Me Cry),Sue Thompson,1961
220,Mother-in-Law,Ernie K-Doe,1961
221,Bristol Stomp,The Dovells,1961
222,Travelin' Man,Ricky Nelson,1961
223,Shop Around,The Miracles,1961
224,The Boll Weevil Song,Brook Benton,1961
225,A Hundred Pounds of Clay,Gene McDaniels,1961
226,The Mountain's High,Dick and Dee Dee,1961
227,Don't Worry,Marty Robbins,1961
228,On the Rebound,Floyd Cramer,1961
229,Portrait of My Love,Steve Lawrence,1961
230,Quarter to Three,Gary U.S. Bonds,1961
231,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,1961
232,Calendar Girl,Neil Sedaka,1961
233,I Like It Like That,Chris Kenner,1961
234,Apache,Jørgen Ingmann,1961
235,Don't Bet Money Honey,Linda Scott,1961
236,Without You,Johnny Tillotson,1961
237,Wings of a Dove,Ferlin Husky,1961
238,Little Sister,Elvis Presley,1961
239,Blue Moon,The Marcels,1961
240,Daddy's Home,Shep and the Limelites,1961
241,This Time,Troy Shondell,1961
242,(I Don't Know Why) But I Do,"Clarence ""Frogman"" Henry",1961
243,Asia Minor,Kokomo,1961
244,Hello Walls,Faron Young,1961
245,Runaround Sue,Dion,1961
246,Yellow Bird,Arthur Lyman,1961
247,Hurt,Timi Yuro,1961
248,Hello Mary Lou,Ricky Nelson,1961
249,There's a Moon Out Tonight,The Capris,1961
250,Surrender,Elvis Presley,1961
251,I Love How You Love Me,The Paris Sisters,1961
252,Ya Ya,Lee Dorsey,1961
253,School Is Out,Gary U.S. Bonds,1961
254,Mexico,Bob Moore,1961
255,You Don't Know What You've Got (Until You Lose It),Ral Donner,1961
256,Walk Right Back,The Everly Brothers,1961
257,The Way You Look Tonight,The Lettermen,1961
258,Moody River,Pat Boone,1961
259,One Mint Julep,Ray Charles,1961
260,Take Good Care of Her,Adam Wade,1961
261,Gee Whiz (Look at His Eyes),Carla Thomas,1961
262,Stand by Me,Ben E. King,1961
263,Spanish Harlem,Ben E. King,1961
264,It's Gonna Work Out Fine,Ike & Tina Turner,1961
265,Baby Blue,The Echoes,1961
266,Baby Sittin' Boogie,Buzz Clifford,1961
267,Hats Off to Larry,Del Shannon,1961
268,Those Oldies but Goodies,Little Caesar & the Romans,1961
269,The Fly,Chubby Checker,1961
270,(Marie's the Name) His Latest Flame,Elvis Presley,1961
271,Wonderland by Night,Bert Kaempfert,1961
272,Bless You,Tony Orlando,1961
273,I've Told Every Little Star,Linda Scott,1961
274,One Track Mind,Bobby Lewis,1961
275,Angel Baby,Rosie and the Originals,1961
276,Pretty Little Angel Eyes,Curtis Lee,1961
277,Think Twice,Brook Benton,1961
278,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Lonnie Donegan,1961
279,Breakin' in a Brand New Broken Heart,Connie Francis,1961
280,Mama Said,The Shirelles,1961
281,Let the Four Winds Blow,Fats Domino,1961
282,The Writing on the Wall,Adam Wade,1961
283,My Kind of Girl,Matt Monro,1961
284,"Tonight My Love, Tonight",Paul Anka,1961
285,San Antonio Rose,Floyd Cramer,1961
286,Big Bad John,Jimmy Dean,1961
287,Good Time Baby,Bobby Rydell,1961
288,Rubber Ball,Bobby Vee,1961
289,Missing You,Ray Peterson,1961
290,Dum Dum,Brenda Lee,1961
291,I'm Gonna Knock on Your Door,Eddie Hodges,1961
292,You Can Depend on Me,Brenda Lee,1961
293,Let's Twist Again,Chubby Checker,1961
294,Take Five,The Dave Brubeck Quartet,1961
295,Are You Lonesome Tonight?,Elvis Presley,1961
296,Sea of Heartbreak,Don Gibson,1961
297,More Money for You and Me,The Four Preps,1961
298,You Must Have Been a Beautiful Baby,Bobby Darin,1961
299,Please Stay,The Drifters,1961
300,Stranger on the Shore,Acker Bilk,1962
301,I Can't Stop Loving You,Ray Charles,1962
302,Mashed Potato Time,Dee Dee Sharp,1962
303,Roses Are Red (My Love),Bobby Vinton,1962
304,The Stripper,David Rose,1962
305,Johnny Angel,Shelley Fabares,1962
306,The Loco-Motion,Little Eva,1962
307,Let Me In,The Sensations,1962
308,The Twist,Chubby Checker,1962
309,Soldier Boy,The Shirelles,1962
310,Hey! Baby,Bruce Channel,1962
311,The Wanderer,Dion,1962
312,Duke of Earl,Gene Chandler,1962
313,Palisades Park,Freddy Cannon,1962
314,Breaking Up Is Hard to Do,Neil Sedaka,1962
315,Wolverton Mountain,Claude King,1962
316,Slow Twistin',Chubby Checker & Dee Dee Sharp,1962
317,It Keeps Right On a-Hurtin',Johnny Tillotson,1962
318,The One Who Really Loves You,Mary Wells,1962
319,Good Luck Charm,Elvis Presley,1962
320,Midnight in Moscow,Kenny Ball,1962
321,Sheila,Tommy Roe,1962
322,Twistin' the Night Away,Sam Cooke,1962
323,The Wah-Watusi,The Orlons,1962
324,Peppermint Twist,Joey Dee and the Starliters,1962
325,Break It to Me Gently,Brenda Lee,1962
326,Playboy,The Marvelettes,1962
327,Ramblin' Rose,Nat King Cole,1962
328,Sealed with a Kiss,Brian Hyland,1962
329,She Cried,Jay and the Americans,1962
330,Don't Break the Heart That Loves You,Connie Francis,1962
331,Dear Lady Twist,Gary U.S. Bonds,1962
332,Norman,Sue Thompson,1962
333,Love Letters,Ketty Lester,1962
334,Party Lights,Claudine Clark,1962
335,Cotton Fields,The Highwaymen,1962
336,Alley Cat,Bent Fabric,1962
337,Twist and Shout,The Isley Brothers,1962
338,Theme from Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain,1962
339,Tuff,Ace Cannon,1962
340,Lover Please,Clyde McPhatter,1962
